SoC_pct,T0C,T5C,T10C,T15C,T20C,T25C,T30C
54,3.874578240695579,3.870619489525533,3.8671835045717495,3.866766793215498,3.868835672201205,3.869567512006902,3.869633734666885
55,3.874578240695579,3.870619489525533,3.8671835045717495,3.870730689327691,3.8754680217395867,3.8771106059994347,3.877266198450358
56,3.874578240695579,3.870619489525533,3.8696200668567373,3.8776025052845533,3.885126848494152,3.8878513197827136,3.8881606767287624
57,3.874578240695579,3.8711798070036973,3.8760283542340432,3.8845540595867742,3.8940496477081563,3.8979453533937285,3.8986097756910265
58,3.8760353948502413,3.8790563366508657,3.8832035335728845,3.8907056171746364,3.901699471040541,3.9071595996629203,3.9086334574953767
59,3.881462494114209,3.886361974923063,3.8907119853114605,3.897661538407352,3.9099370435672105,3.9171748247738174,3.9198372293266557
60,3.8877988840132196,3.8938803039212964,3.8990340499533023,3.906643365823634,3.919741594520528,3.928184757844945,3.931682791059644
61,3.8972937083645927,3.9028269196788714,3.9083345966958642,3.917359812223069,3.9312718240867253,3.940116060592077,3.9434721438927034
62,3.9081983567005762,3.912896570774213,3.918681974478562,3.9292479702597927,3.943891800454136,3.952595664017265,3.955094213229799
63,3.919362868794872,3.9242854032557517,3.9306843703749172,3.9419344120904016,3.955783357061587,3.963725501642579,3.9652014809023086
64,3.9329323606590965,3.9380144002350135,3.9441599291336806,3.953937054487775,3.964910809664075,3.971573912781186,3.972237094683417
65,3.9486774854848683,3.9525834218988063,3.9567941999107856,3.9629979129024946,3.9704868959379,3.975968324614244,3.9764293990428694
66,3.961595670286992,3.963955607115178,3.9660756153296504,3.968926105124245,3.9740484396287084,3.9785568597283394,3.9792751999969997
67,3.968193323476612,3.970276908852459,3.972221781173179,3.9742542202037754,3.9785439222489076,3.9818737707210055,3.9824518256454793
68,3.9711597777806187,3.9742275581080557,3.9778504023812786,3.9813482468691666,3.9855796283291594,3.9874525788655006,3.9869847845405895
69,3.975742844575941,3.9794997621249246,3.984625352280009,3.989923546562511,3.9941345842911886,3.99465915583909,3.992541118336889
70,3.9830532308931996,3.9861631762585734,3.991338980966913,3.9978187982661764,4.002097224784702,4.001966029097851,3.9985328561358027
71,3.989946932403013,3.991748031771131,3.996272074454567,4.003743641905944,4.008491750086494,4.008737440092185,4.005338949159726
